2021-01-10 20:15:34.546 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 3 was attended by Cashier 2
2021-01-10 20:15:34.559 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 17 was attended by Cashier 2
2021-01-10 20:15:34.559 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 19 was attended by Cashier 0
2021-01-10 20:15:34.559 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 20 was attended by Cashier 1
2021-01-10 20:15:34.559 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 22 was attended by Cashier 0
2021-01-10 20:15:34.560 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 23 was attended by Cashier 1
2021-01-10 20:15:34.560 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 21 was attended by Cashier 2
2021-01-10 20:15:34.560 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 25 was attended by Cashier 1
2021-01-10 20:15:34.560 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 24 was attended by Cashier 0
2021-01-10 20:15:34.561 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 26 was attended by Cashier 2
2021-01-10 20:15:34.561 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 27 was attended by Cashier 1
2021-01-10 20:15:34.561 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 29 was attended by Cashier 2
2021-01-10 20:15:34.562 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 28 was attended by Cashier 0
2021-01-10 20:15:34.562 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 30 was attended by Cashier 1
2021-01-10 20:15:34.562 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 32 was attended by Cashier 0
2021-01-10 20:15:34.562 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 31 was attended by Cashier 2
2021-01-10 20:15:34.562 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 33 was attended by Cashier 1
2021-01-10 20:15:34.563 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 36 was attended by Cashier 1
2021-01-10 20:15:34.563 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 34 was attended by Cashier 0
2021-01-10 20:15:34.563 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 35 was attended by Cashier 2
2021-01-10 20:15:34.563 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 37 was attended by Cashier 1
2021-01-10 20:15:34.564 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 38 was attended by Cashier 0
2021-01-10 20:15:34.565 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 41 was attended by Cashier 0
2021-01-10 20:15:34.567 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 39 was attended by Cashier 2
2021-01-10 20:15:34.568 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 40 was attended by Cashier 1
2021-01-10 20:15:34.569 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 43 was attended by Cashier 2
2021-01-10 20:15:34.571 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 42 was attended by Cashier 0
2021-01-10 20:15:34.571 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 44 was attended by Cashier 1
2021-01-10 20:15:34.572 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 45 was attended by Cashier 2
2021-01-10 20:15:34.573 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 46 was attended by Cashier 0
2021-01-10 20:15:34.573 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 48 was attended by Cashier 2
